name	category	klass	idempotent	input	output	error	notes
atx-heading-h1	commonmark-block	BYTE_IDENTICAL	Y	"# Heading 1\n"	"# Heading 1\n"		
atx-heading-h2	commonmark-block	BYTE_IDENTICAL	Y	"## Heading 2\n"	"## Heading 2\n"		
atx-heading-h3	commonmark-block	BYTE_IDENTICAL	Y	"### Heading 3\n"	"### Heading 3\n"		
atx-heading-h4	commonmark-block	BYTE_IDENTICAL	Y	"#### Heading 4\n"	"#### Heading 4\n"		
atx-heading-h5	commonmark-block	BYTE_IDENTICAL	Y	"##### Heading 5\n"	"##### Heading 5\n"		
atx-heading-h6	commonmark-block	BYTE_IDENTICAL	Y	"###### Heading 6\n"	"###### Heading 6\n"		
atx-heading-trailing-hashes	commonmark-block	STRUCTURE_CHANGE	Y	"## Heading ##\n"	"## Heading\n"		
setext-heading-h1	commonmark-block	BYTE_IDENTICAL	Y	"Heading 1\n=========\n"	"Heading 1\n=========\n"		
setext-heading-h2	commonmark-block	BYTE_IDENTICAL	Y	"Heading 2\n---------\n"	"Heading 2\n---------\n"		
hr-dashes	commonmark-block	BYTE_IDENTICAL	Y	"---\n"	"---\n"		
hr-asterisks	commonmark-block	BYTE_IDENTICAL	Y	"***\n"	"***\n"		
hr-underscores	commonmark-block	BYTE_IDENTICAL	Y	"___\n"	"___\n"		
paragraph-plain	commonmark-block	BYTE_IDENTICAL	Y	"A simple paragraph.\n"	"A simple paragraph.\n"		
paragraph-with-soft-break	commonmark-block	WHITESPACE_DIFF	Y	"Line one.\nLine two continues.\n"	"Line one. Line two continues.\n"		
paragraph-with-hard-break-spaces	commonmark-block	BYTE_IDENTICAL	Y	"Line one.  \nLine two.\n"	"Line one.  \nLine two.\n"		
paragraph-with-hard-break-backslash	commonmark-block	BYTE_IDENTICAL	Y	"Line one.\\\nLine two.\n"	"Line one.\\\nLine two.\n"		
paragraph-multiple-blank-lines	commonmark-block	WHITESPACE_DIFF	Y	"First.\n\n\n\nSecond.\n"	"First.\n\nSecond.\n"		
blockquote-simple	commonmark-block	BYTE_IDENTICAL	Y	"> A blockquote.\n"	"> A blockquote.\n"		
blockquote-multiline	commonmark-block	STRUCTURE_CHANGE	Y	"> Line one.\n> Line two.\n"	"> Line one. Line two.\n"		
blockquote-nested	commonmark-block	BYTE_IDENTICAL	Y	"> Outer.\n>\n> > Inner.\n"	"> Outer.\n>\n> > Inner.\n"		
blockquote-with-heading	commonmark-block	BYTE_IDENTICAL	Y	"> # Heading in quote\n>\n> And text.\n"	"> # Heading in quote\n>\n> And text.\n"		
list-bullet-dash	commonmark-block	BYTE_IDENTICAL	Y	"- Item 1\n- Item 2\n- Item 3\n"	"- Item 1\n- Item 2\n- Item 3\n"		
list-bullet-asterisk	commonmark-block	BYTE_IDENTICAL	Y	"* Item 1\n* Item 2\n* Item 3\n"	"* Item 1\n* Item 2\n* Item 3\n"		
list-bullet-plus	commonmark-block	BYTE_IDENTICAL	Y	"+ Item 1\n+ Item 2\n+ Item 3\n"	"+ Item 1\n+ Item 2\n+ Item 3\n"		
list-bullet-single-item	commonmark-block	BYTE_IDENTICAL	Y	"- Solo item\n"	"- Solo item\n"		
list-ordered-period	commonmark-block	BYTE_IDENTICAL	Y	"1. First\n2. Second\n3. Third\n"	"1. First\n2. Second\n3. Third\n"		
list-ordered-paren	commonmark-block	BYTE_IDENTICAL	Y	"1) First\n2) Second\n3) Third\n"	"1) First\n2) Second\n3) Third\n"		
list-ordered-start-at-5	commonmark-block	BYTE_IDENTICAL	Y	"5. Five\n6. Six\n7. Seven\n"	"5. Five\n6. Six\n7. Seven\n"		
list-tight	commonmark-block	BYTE_IDENTICAL	Y	"- Item 1\n- Item 2\n- Item 3\n"	"- Item 1\n- Item 2\n- Item 3\n"		
list-loose	commonmark-block	BYTE_IDENTICAL	Y	"- Item 1\n\n- Item 2\n\n- Item 3\n"	"- Item 1\n\n- Item 2\n\n- Item 3\n"		
list-nested-2-levels	commonmark-block	BYTE_IDENTICAL	Y	"- Outer 1\n  - Nested 1a\n  - Nested 1b\n- Outer 2\n"	"- Outer 1\n  - Nested 1a\n  - Nested 1b\n- Outer 2\n"		
list-nested-3-levels	commonmark-block	BYTE_IDENTICAL	Y	"- L1\n  - L2\n    - L3\n"	"- L1\n  - L2\n    - L3\n"		
list-nested-mixed	commonmark-block	BYTE_IDENTICAL	Y	"- Bullet\n  1. Nested ordered 1\n  2. Nested ordered 2\n- Another bullet\n"	"- Bullet\n  1. Nested ordered 1\n  2. Nested ordered 2\n- Another bullet\n"		
code-block-fenced-backticks	commonmark-block	BYTE_IDENTICAL	Y	"```\nplain code\n```\n"	"```\nplain code\n```\n"		
code-block-fenced-tildes	commonmark-block	BYTE_IDENTICAL	Y	"~~~\nplain code\n~~~\n"	"~~~\nplain code\n~~~\n"		
code-block-with-lang	commonmark-block	BYTE_IDENTICAL	Y	"```javascript\nconst x = 1;\n```\n"	"```javascript\nconst x = 1;\n```\n"		
code-block-with-info-string	commonmark-block	BYTE_IDENTICAL	Y	"```ts title=\"foo.ts\"\nconst x = 1;\n```\n"	"```ts title=\"foo.ts\"\nconst x = 1;\n```\n"		
code-block-indented	commonmark-block	WHITESPACE_DIFF	Y	"    indented code\n    second line\n"	"indented code second line\n"		
code-block-empty-lang	commonmark-block	BYTE_IDENTICAL	Y	"```\n\nempty lines preserved\n\n```\n"	"```\n\nempty lines preserved\n\n```\n"		
code-block-contains-ampersand	commonmark-block	BYTE_IDENTICAL	Y	"```\nfoo & bar\nx < y > z\n```\n"	"```\nfoo & bar\nx < y > z\n```\n"		
inline-code-simple	commonmark-inline	BYTE_IDENTICAL	Y	"Use `code` here.\n"	"Use `code` here.\n"		
inline-code-with-ampersand	commonmark-inline	BYTE_IDENTICAL	Y	"Use `a & b` here.\n"	"Use `a & b` here.\n"		
inline-code-with-brackets	commonmark-inline	BYTE_IDENTICAL	Y	"Use `foo[1]` here.\n"	"Use `foo[1]` here.\n"		
inline-code-with-backticks	commonmark-inline	BYTE_IDENTICAL	Y	"Use `` `backtick` `` here.\n"	"Use `` `backtick` `` here.\n"		
emphasis-bold-asterisks	commonmark-inline	BYTE_IDENTICAL	Y	"This is **bold** text.\n"	"This is **bold** text.\n"		
emphasis-bold-underscores	commonmark-inline	BYTE_IDENTICAL	Y	"This is __bold__ text.\n"	"This is __bold__ text.\n"		
emphasis-italic-asterisks	commonmark-inline	BYTE_IDENTICAL	Y	"This is *italic* text.\n"	"This is *italic* text.\n"		
emphasis-italic-underscores	commonmark-inline	BYTE_IDENTICAL	Y	"This is _italic_ text.\n"	"This is _italic_ text.\n"		
emphasis-bold-italic-combined	commonmark-inline	BYTE_IDENTICAL	Y	"This is ***bold italic*** text.\n"	"This is ***bold italic*** text.\n"		
emphasis-nested	commonmark-inline	STRUCTURE_CHANGE	Y	"This is **bold with *italic* inside**.\n"	"This is **bold with *****italic***** inside**.\n"		
link-inline	commonmark-inline	BYTE_IDENTICAL	Y	"See [docs](https://example.com).\n"	"See [docs](https://example.com).\n"		
link-with-title	commonmark-inline	BYTE_IDENTICAL	Y	"See [docs](https://example.com \"title\").\n"	"See [docs](https://example.com \"title\").\n"		
link-reference	commonmark-inline	BYTE_IDENTICAL	Y	"See [docs][ref].\n\n[ref]: https://example.com\n"	"See [docs][ref].\n\n[ref]: https://example.com\n"		
link-collapsed-reference	commonmark-inline	BYTE_IDENTICAL	Y	"See [docs][].\n\n[docs]: https://example.com\n"	"See [docs][].\n\n[docs]: https://example.com\n"		
link-shortcut-reference	commonmark-inline	BYTE_IDENTICAL	Y	"See [docs].\n\n[docs]: https://example.com\n"	"See [docs].\n\n[docs]: https://example.com\n"		
link-autolink	commonmark-inline	ERROR	Y	"Visit <https://example.com>.\n"	""	Unexpected character `/` (U+002F) before local name, expected a character that can start a name, such as a letter, `$`, or `_` (note: to create a link in MDX, use `[text](url)`)	
link-with-ampersand-in-url	commonmark-inline	BYTE_IDENTICAL	Y	"See [docs](https://example.com?a=1&b=2).\n"	"See [docs](https://example.com?a=1&b=2).\n"		
link-with-ampersand-in-text	commonmark-inline	BYTE_IDENTICAL	Y	"See [A & B](https://example.com).\n"	"See [A & B](https://example.com).\n"		
image-inline	commonmark-inline	BYTE_IDENTICAL	Y	"![Alt text](https://example.com/img.png)\n"	"![Alt text](https://example.com/img.png)\n"		
image-with-title	commonmark-inline	BYTE_IDENTICAL	Y	"![Alt](https://example.com/img.png \"title\")\n"	"![Alt](https://example.com/img.png \"title\")\n"		
html-block-div	commonmark-block	SEMANTIC_LOSS	Y	"<div class=\"box\">HTML block</div>\n"	"<div />\n"		
html-inline-span	commonmark-inline	SEMANTIC_LOSS	Y	"Text with <span>inline</span> HTML.\n"	"Text with <span /> HTML.\n"		
html-br	commonmark-inline	ERROR	Y	"Line one<br>Line two.\n"	""	Expected a closing tag for `<br>` (1:9-1:13) before the end of `paragraph`	
gfm-table-simple	gfm-extension	STRUCTURE_CHANGE	Y	"| H1 | H2 |\n|---|---|\n| c1 | c2 |\n"	"| H1 | H2 |\n| -- | -- |\n| c1 | c2 |\n"		
gfm-table-aligned	gfm-extension	STRUCTURE_CHANGE	Y	"| Left | Center | Right |\n|:---|:---:|---:|\n| a | b | c |\n"	"| Left | Center | Right |\n| ---- | ------ | ----- |\n| a    | b      | c     |\n"		
gfm-table-with-ampersand	gfm-extension	STRUCTURE_CHANGE	Y	"| Name | Desc |\n|---|---|\n| A & B | test |\n"	"| Name  | Desc |\n| ----- | ---- |\n| A & B | test |\n"		
gfm-task-list-unchecked	gfm-extension	STRUCTURE_CHANGE	Y	"- [ ] Todo item\n- [ ] Another todo\n"	"- Todo item\n- Another todo\n"		
gfm-task-list-checked	gfm-extension	SEMANTIC_LOSS	Y	"- [x] Done\n- [ ] Todo\n"	"- Done\n- Todo\n"		
gfm-strikethrough	gfm-extension	BYTE_IDENTICAL	Y	"This is ~~struck~~ text.\n"	"This is ~~struck~~ text.\n"		
gfm-autolink-bare-url	gfm-extension	SEMANTIC_LOSS	Y	"Visit https://example.com directly.\n"	"Visit [https://example.com](https://example.com) directly.\n"		
ampersand-literal-in-heading	char-content	BYTE_IDENTICAL	Y	"# H&M Store\n"	"# H&M Store\n"		
ampersand-literal-in-paragraph	char-content	BYTE_IDENTICAL	Y	"Foo & Bar & Baz.\n"	"Foo & Bar & Baz.\n"		
lt-gt-in-paragraph	char-content	BYTE_IDENTICAL	Y	"If a < b and b > c then a < c.\n"	"If a < b and b > c then a < c.\n"		
already-encoded-amp	char-content	COSMETIC_NORMALIZATION	Y	"Author wrote &amp; explicitly.\n"	"Author wrote & explicitly.\n"		
already-encoded-lt-gt	char-content	STRUCTURE_CHANGE	N	"Author wrote &lt;tag&gt; explicitly.\n"	"Author wrote <tag> explicitly.\n"		
numeric-entity-decimal	char-content	SEMANTIC_LOSS	Y	"Copyright &#169; 2026.\n"	"Copyright © 2026.\n"		
numeric-entity-hex	char-content	SEMANTIC_LOSS	Y	"Bullet &#x2022; item.\n"	"Bullet • item.\n"		
named-entity-copy	char-content	SEMANTIC_LOSS	Y	"&copy; 2026 Example Inc.\n"	"© 2026 Example Inc.\n"		
named-entity-mdash	char-content	SEMANTIC_LOSS	Y	"She said &mdash; wait, no.\n"	"She said — wait, no.\n"		
backslash-escape-asterisk	char-content	BYTE_IDENTICAL	Y	"Literal \\*not italic\\*.\n"	"Literal \\*not italic\\*.\n"		
backslash-escape-underscore	char-content	BYTE_IDENTICAL	Y	"Literal \\_not italic\\_.\n"	"Literal \\_not italic\\_.\n"		
backslash-escape-bracket	char-content	COSMETIC_NORMALIZATION	Y	"Literal \\[not link\\].\n"	"Literal \\[not link].\n"		
backslash-escape-hash	char-content	BYTE_IDENTICAL	Y	"\\# Not a heading.\n"	"\\# Not a heading.\n"		
punctuation-mixed	char-content	BYTE_IDENTICAL	Y	"It's a \"quoted\" string; with: punctuation!\n"	"It's a \"quoted\" string; with: punctuation!\n"		
single-char-words	char-content	BYTE_IDENTICAL	Y	"A cat; I saw it on TV.\n"	"A cat; I saw it on TV.\n"		
two-char-words	char-content	BYTE_IDENTICAL	Y	"It is an IT system on my OS.\n"	"It is an IT system on my OS.\n"		
numbers-in-text	char-content	BYTE_IDENTICAL	Y	"Version 1.2.3 released on 2026-04-11.\n"	"Version 1.2.3 released on 2026-04-11.\n"		
math-operators	char-content	COSMETIC_NORMALIZATION	Y	"Formula: x = (a + b) * c / d\n"	"Formula: x = (a + b) \\* c / d\n"		
unicode-emoji	char-content	BYTE_IDENTICAL	Y	"Launch 🚀 success!\n"	"Launch 🚀 success!\n"		
unicode-cjk	char-content	BYTE_IDENTICAL	Y	"你好世界\n"	"你好世界\n"		
unicode-rtl-arabic	char-content	BYTE_IDENTICAL	Y	"مرحبا بالعالم\n"	"مرحبا بالعالم\n"		
unicode-accented-latin	char-content	BYTE_IDENTICAL	Y	"Café résumé naïve über\n"	"Café résumé naïve über\n"		
unicode-combining	char-content	BYTE_IDENTICAL	Y	"ñ combining tilde\n"	"ñ combining tilde\n"		
unicode-zwj-emoji	char-content	BYTE_IDENTICAL	Y	"👨‍👩‍👧‍👦 family emoji\n"	"👨‍👩‍👧‍👦 family emoji\n"		
whitespace-trailing-spaces-paragraph	char-content	WHITESPACE_DIFF	Y	"Has trailing spaces.   \n"	"Has trailing spaces.\n"		
whitespace-tab-in-paragraph	char-content	BYTE_IDENTICAL	Y	"Col1\tCol2\n"	"Col1\tCol2\n"		
whitespace-leading-spaces	char-content	WHITESPACE_DIFF	Y	"   Indented paragraph start.\n"	"Indented paragraph start.\n"		
whitespace-nbsp	char-content	BYTE_IDENTICAL	Y	"Two words joined by non-breaking space.\n"	"Two words joined by non-breaking space.\n"		
wikilink-bare	custom-extension	BYTE_IDENTICAL	Y	"See [[TargetPage]] for details.\n"	"See [[TargetPage]] for details.\n"		
wikilink-with-alias	custom-extension	BYTE_IDENTICAL	Y	"See [[TargetPage|the target]] for details.\n"	"See [[TargetPage|the target]] for details.\n"		
wikilink-with-section	custom-extension	BYTE_IDENTICAL	Y	"See [[TargetPage#Section]] for details.\n"	"See [[TargetPage#Section]] for details.\n"		
wikilink-with-section-and-alias	custom-extension	BYTE_IDENTICAL	Y	"See [[TargetPage#Section|label]] for details.\n"	"See [[TargetPage#Section|label]] for details.\n"		
wikilink-inside-list	custom-extension	BYTE_IDENTICAL	Y	"- See [[Page A]]\n- See [[Page B]]\n"	"- See [[Page A]]\n- See [[Page B]]\n"		
jsx-component-simple	custom-extension	BYTE_IDENTICAL	Y	"```jsx-component name=Callout\n{\"variant\": \"info\", \"children\": \"Hello\"}\n```\n"	"```jsx-component name=Callout\n{\"variant\": \"info\", \"children\": \"Hello\"}\n```\n"		
frontmatter-yaml	custom-extension	BYTE_IDENTICAL	Y	"---\ntitle: My Doc\ntags: [a, b]\n---\n\n# Content\n"	"---\ntitle: My Doc\ntags: [a, b]\n---\n\n# Content\n"		
heading-then-paragraph	structural	BYTE_IDENTICAL	Y	"# Heading\n\nParagraph text.\n"	"# Heading\n\nParagraph text.\n"		
list-containing-code	structural	BYTE_IDENTICAL	Y	"- Item with code\n\n  ```\n  code inside list\n  ```\n\n- Next item\n"	"- Item with code\n\n  ```\n  code inside list\n  ```\n\n- Next item\n"		
list-containing-heading	structural	BYTE_IDENTICAL	Y	"- Item 1\n\n  ## Subheading in list\n\n- Item 2\n"	"- Item 1\n\n  ## Subheading in list\n\n- Item 2\n"		
paragraph-with-bold-italic-code	structural	WHITESPACE_DIFF	Y	"Mix **bold** _italic_ `code` together.\n"	"Mix **bold** _italic_ `code` together.\n"		
heading-with-bold	structural	BYTE_IDENTICAL	Y	"## Heading with **bold** part\n"	"## Heading with **bold** part\n"		
heading-with-inline-code	structural	BYTE_IDENTICAL	Y	"## Heading with `code` part\n"	"## Heading with `code` part\n"		
heading-with-link	structural	BYTE_IDENTICAL	Y	"## See [the docs](https://example.com)\n"	"## See [the docs](https://example.com)\n"		
empty-document	edge-case	BYTE_IDENTICAL	Y	""	""		
only-whitespace	edge-case	WHITESPACE_DIFF	Y	"   \n  \n"	""		
single-character	edge-case	BYTE_IDENTICAL	Y	"A\n"	"A\n"		
very-long-paragraph	edge-case	BYTE_IDENTICAL	Y	"word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word.\n"	"word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word word.\n"		
trailing-newlines	edge-case	WHITESPACE_DIFF	Y	"Text.\n\n\n\n"	"Text.\n"		
no-trailing-newline	edge-case	WHITESPACE_DIFF	Y	"Text without trailing newline"	"Text without trailing newline\n"		